rowid,COUNTRY,INDICATOR,YR,AMOUNT,Government Type,Regime_type,Continent
89,Argentina,GDP at market prices current US,1981,78676842366,presidential republic,Flawed democracy,South America
90,Argentina,GDP per capita current US,1981,2756,presidential republic,Flawed democracy,South America
91,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,1981,0,presidential republic,Flawed democracy,South America
92,Argentina,Government expenditure per tertiary student constant US,1981,0,presidential republic,Flawed democracy,South America
93,Argentina,Government expenditure per tertiary student US,1981,0,presidential republic,Flawed democracy,South America
94,Argentina,Labor force total,1981,0,presidential republic,Flawed democracy,South America
95,Argentina,Population growth annual pct,1981,1,presidential republic,Flawed democracy,South America
96,Argentina,Population total,1981,28543364,presidential republic,Flawed democracy,South America
97,Argentina,GDP at market prices current US,1982,84307486837,presidential republic,Flawed democracy,South America
98,Argentina,GDP per capita current US,1982,2907,presidential republic,Flawed democracy,South America
99,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,1982,0,presidential republic,Flawed democracy,South America
100,Argentina,Government expenditure per tertiary student constant US,1982,0,presidential republic,Flawed democracy,South America
101,Argentina,Government expenditure per tertiary student US,1982,0,presidential republic,Flawed democracy,South America
102,Argentina,Labor force total,1982,0,presidential republic,Flawed democracy,South America
103,Argentina,Population growth annual pct,1982,1,presidential republic,Flawed democracy,South America
104,Argentina,Population total,1982,28993987,presidential republic,Flawed democracy,South America
105,Argentina,GDP at market prices current US,1983,104000000000,presidential republic,Flawed democracy,South America
106,Argentina,GDP per capita current US,1983,3530,presidential republic,Flawed democracy,South America
107,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,1983,0,presidential republic,Flawed democracy,South America
108,Argentina,Government expenditure per tertiary student constant US,1983,0,presidential republic,Flawed democracy,South America
109,Argentina,Government expenditure per tertiary student US,1983,0,presidential republic,Flawed democracy,South America
110,Argentina,Labor force total,1983,0,presidential republic,Flawed democracy,South America
111,Argentina,Population growth annual pct,1983,1,presidential republic,Flawed democracy,South America
112,Argentina,Population total,1983,29454738,presidential republic,Flawed democracy,South America
113,Argentina,GDP at market prices current US,1984,79092001998,presidential republic,Flawed democracy,South America
114,Argentina,GDP per capita current US,1984,2643,presidential republic,Flawed democracy,South America
115,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,1984,0,presidential republic,Flawed democracy,South America
116,Argentina,Government expenditure per tertiary student constant US,1984,0,presidential republic,Flawed democracy,South America
117,Argentina,Government expenditure per tertiary student US,1984,0,presidential republic,Flawed democracy,South America
118,Argentina,Labor force total,1984,0,presidential republic,Flawed democracy,South America
119,Argentina,Population growth annual pct,1984,1,presidential republic,Flawed democracy,South America
120,Argentina,Population total,1984,29920904,presidential republic,Flawed democracy,South America
121,Argentina,GDP at market prices current US,1985,88416668900,presidential republic,Flawed democracy,South America
122,Argentina,GDP per capita current US,1985,2909,presidential republic,Flawed democracy,South America
123,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,1985,0,presidential republic,Flawed democracy,South America
124,Argentina,Government expenditure per tertiary student constant US,1985,0,presidential republic,Flawed democracy,South America
125,Argentina,Government expenditure per tertiary student US,1985,0,presidential republic,Flawed democracy,South America
126,Argentina,Labor force total,1985,0,presidential republic,Flawed democracy,South America
127,Argentina,Population growth annual pct,1985,1,presidential republic,Flawed democracy,South America
128,Argentina,Population total,1985,30388783,presidential republic,Flawed democracy,South America
129,Argentina,GDP at market prices current US,1986,111000000000,presidential republic,Flawed democracy,South America
130,Argentina,GDP per capita current US,1986,3595,presidential republic,Flawed democracy,South America
131,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,1986,0,presidential republic,Flawed democracy,South America
132,Argentina,Government expenditure per tertiary student constant US,1986,0,presidential republic,Flawed democracy,South America
133,Argentina,Government expenditure per tertiary student US,1986,0,presidential republic,Flawed democracy,South America
134,Argentina,Labor force total,1986,0,presidential republic,Flawed democracy,South America
135,Argentina,Population growth annual pct,1986,1,presidential republic,Flawed democracy,South America
136,Argentina,Population total,1986,30857244,presidential republic,Flawed democracy,South America
137,Argentina,GDP at market prices current US,1987,111000000000,presidential republic,Flawed democracy,South America
138,Argentina,GDP per capita current US,1987,3546,presidential republic,Flawed democracy,South America
139,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,1987,0,presidential republic,Flawed democracy,South America
140,Argentina,Government expenditure per tertiary student constant US,1987,0,presidential republic,Flawed democracy,South America
141,Argentina,Government expenditure per tertiary student US,1987,0,presidential republic,Flawed democracy,South America
142,Argentina,Labor force total,1987,0,presidential republic,Flawed democracy,South America
143,Argentina,Population growth annual pct,1987,1,presidential republic,Flawed democracy,South America
144,Argentina,Population total,1987,31326473,presidential republic,Flawed democracy,South America
145,Argentina,GDP at market prices current US,1988,126000000000,presidential republic,Flawed democracy,South America
146,Argentina,GDP per capita current US,1988,3969,presidential republic,Flawed democracy,South America
147,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,1988,0,presidential republic,Flawed democracy,South America
148,Argentina,Government expenditure per tertiary student constant US,1988,0,presidential republic,Flawed democracy,South America
149,Argentina,Government expenditure per tertiary student US,1988,0,presidential republic,Flawed democracy,South America
150,Argentina,Labor force total,1988,0,presidential republic,Flawed democracy,South America
151,Argentina,Population growth annual pct,1988,1,presidential republic,Flawed democracy,South America
152,Argentina,Population total,1988,31795517,presidential republic,Flawed democracy,South America
153,Argentina,GDP at market prices current US,1989,76636898036,presidential republic,Flawed democracy,South America
154,Argentina,GDP per capita current US,1989,2375,presidential republic,Flawed democracy,South America
155,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,1989,0,presidential republic,Flawed democracy,South America
156,Argentina,Government expenditure per tertiary student constant US,1989,0,presidential republic,Flawed democracy,South America
157,Argentina,Government expenditure per tertiary student US,1989,0,presidential republic,Flawed democracy,South America
158,Argentina,Labor force total,1989,0,presidential republic,Flawed democracy,South America
159,Argentina,Population growth annual pct,1989,1,presidential republic,Flawed democracy,South America
160,Argentina,Population total,1989,32263561,presidential republic,Flawed democracy,South America
161,Argentina,GDP at market prices current US,1990,141000000000,presidential republic,Flawed democracy,South America
162,Argentina,GDP per capita current US,1990,4318,presidential republic,Flawed democracy,South America
163,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,1990,0,presidential republic,Flawed democracy,South America
164,Argentina,Government expenditure per tertiary student constant US,1990,0,presidential republic,Flawed democracy,South America
165,Argentina,Government expenditure per tertiary student US,1990,0,presidential republic,Flawed democracy,South America
166,Argentina,Labor force total,1990,13484223,presidential republic,Flawed democracy,South America
167,Argentina,Population growth annual pct,1990,1,presidential republic,Flawed democracy,South America
168,Argentina,Population total,1990,32729739,presidential republic,Flawed democracy,South America
169,Argentina,GDP at market prices current US,1991,190000000000,presidential republic,Flawed democracy,South America
170,Argentina,GDP per capita current US,1991,5715,presidential republic,Flawed democracy,South America
171,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,1991,0,presidential republic,Flawed democracy,South America
172,Argentina,Government expenditure per tertiary student constant US,1991,0,presidential republic,Flawed democracy,South America
173,Argentina,Government expenditure per tertiary student US,1991,0,presidential republic,Flawed democracy,South America
174,Argentina,Labor force total,1991,13786323,presidential republic,Flawed democracy,South America
175,Argentina,Population growth annual pct,1991,1,presidential republic,Flawed democracy,South America
176,Argentina,Population total,1991,33193918,presidential republic,Flawed democracy,South America
177,Argentina,GDP at market prices current US,1992,229000000000,presidential republic,Flawed democracy,South America
178,Argentina,GDP per capita current US,1992,6798,presidential republic,Flawed democracy,South America
179,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,1992,0,presidential republic,Flawed democracy,South America
180,Argentina,Government expenditure per tertiary student constant US,1992,0,presidential republic,Flawed democracy,South America
181,Argentina,Government expenditure per tertiary student US,1992,0,presidential republic,Flawed democracy,South America
182,Argentina,Labor force total,1992,14128886,presidential republic,Flawed democracy,South America
183,Argentina,Population growth annual pct,1992,1,presidential republic,Flawed democracy,South America
184,Argentina,Population total,1992,33655151,presidential republic,Flawed democracy,South America
185,Argentina,GDP at market prices current US,1993,237000000000,presidential republic,Flawed democracy,South America
186,Argentina,GDP per capita current US,1993,6940,presidential republic,Flawed democracy,South America
187,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,1993,0,presidential republic,Flawed democracy,South America
188,Argentina,Government expenditure per tertiary student constant US,1993,0,presidential republic,Flawed democracy,South America
189,Argentina,Government expenditure per tertiary student US,1993,0,presidential republic,Flawed democracy,South America
190,Argentina,Labor force total,1993,14442940,presidential republic,Flawed democracy,South America
191,Argentina,Population growth annual pct,1993,1,presidential republic,Flawed democracy,South America
192,Argentina,Population total,1993,34110917,presidential republic,Flawed democracy,South America
193,Argentina,GDP at market prices current US,1994,257000000000,presidential republic,Flawed democracy,South America
194,Argentina,GDP per capita current US,1994,7449,presidential republic,Flawed democracy,South America
195,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,1994,0,presidential republic,Flawed democracy,South America
196,Argentina,Government expenditure per tertiary student constant US,1994,0,presidential republic,Flawed democracy,South America
197,Argentina,Government expenditure per tertiary student US,1994,0,presidential republic,Flawed democracy,South America
198,Argentina,Labor force total,1994,14767751,presidential republic,Flawed democracy,South America
199,Argentina,Population growth annual pct,1994,1,presidential republic,Flawed democracy,South America
200,Argentina,Population total,1994,34558115,presidential republic,Flawed democracy,South America
201,Argentina,GDP at market prices current US,1995,258000000000,presidential republic,Flawed democracy,South America
202,Argentina,GDP per capita current US,1995,7373,presidential republic,Flawed democracy,South America
203,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,1995,0,presidential republic,Flawed democracy,South America
204,Argentina,Government expenditure per tertiary student constant US,1995,0,presidential republic,Flawed democracy,South America
205,Argentina,Government expenditure per tertiary student US,1995,0,presidential republic,Flawed democracy,South America
206,Argentina,Labor force total,1995,14991598,presidential republic,Flawed democracy,South America
207,Argentina,Population growth annual pct,1995,1,presidential republic,Flawed democracy,South America
208,Argentina,Population total,1995,34994814,presidential republic,Flawed democracy,South America
209,Argentina,GDP at market prices current US,1996,272000000000,presidential republic,Flawed democracy,South America
210,Argentina,GDP per capita current US,1996,7683,presidential republic,Flawed democracy,South America
211,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,1996,0,presidential republic,Flawed democracy,South America
212,Argentina,Government expenditure per tertiary student constant US,1996,0,presidential republic,Flawed democracy,South America
213,Argentina,Government expenditure per tertiary student US,1996,0,presidential republic,Flawed democracy,South America
214,Argentina,Labor force total,1996,15303385,presidential republic,Flawed democracy,South America
215,Argentina,Population growth annual pct,1996,1,presidential republic,Flawed democracy,South America
216,Argentina,Population total,1996,35419682,presidential republic,Flawed democracy,South America
217,Argentina,GDP at market prices current US,1997,293000000000,presidential republic,Flawed democracy,South America
218,Argentina,GDP per capita current US,1997,8172,presidential republic,Flawed democracy,South America
219,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,1997,0,presidential republic,Flawed democracy,South America
220,Argentina,Government expenditure per tertiary student constant US,1997,0,presidential republic,Flawed democracy,South America
221,Argentina,Government expenditure per tertiary student US,1997,0,presidential republic,Flawed democracy,South America
222,Argentina,Labor force total,1997,15653215,presidential republic,Flawed democracy,South America
223,Argentina,Population growth annual pct,1997,1,presidential republic,Flawed democracy,South America
224,Argentina,Population total,1997,35833969,presidential republic,Flawed democracy,South America
225,Argentina,GDP at market prices current US,1998,299000000000,presidential republic,Flawed democracy,South America
226,Argentina,GDP per capita current US,1998,8248,presidential republic,Flawed democracy,South America
227,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,1998,20,presidential republic,Flawed democracy,South America
228,Argentina,Government expenditure per tertiary student constant US,1998,2189,presidential republic,Flawed democracy,South America
229,Argentina,Government expenditure per tertiary student US,1998,1673,presidential republic,Flawed democracy,South America
230,Argentina,Labor force total,1998,15961409,presidential republic,Flawed democracy,South America
231,Argentina,Population growth annual pct,1998,1,presidential republic,Flawed democracy,South America
232,Argentina,Population total,1998,36241590,presidential republic,Flawed democracy,South America
233,Argentina,GDP at market prices current US,1999,284000000000,presidential republic,Flawed democracy,South America
234,Argentina,GDP per capita current US,1999,7736,presidential republic,Flawed democracy,South America
235,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,1999,17,presidential republic,Flawed democracy,South America
236,Argentina,Government expenditure per tertiary student constant US,1999,1829,presidential republic,Flawed democracy,South America
237,Argentina,Government expenditure per tertiary student US,1999,1372,presidential republic,Flawed democracy,South America
238,Argentina,Labor force total,1999,16192216,presidential republic,Flawed democracy,South America
239,Argentina,Population growth annual pct,1999,1,presidential republic,Flawed democracy,South America
240,Argentina,Population total,1999,36648068,presidential republic,Flawed democracy,South America
241,Argentina,GDP at market prices current US,2000,284000000000,presidential republic,Flawed democracy,South America
242,Argentina,GDP per capita current US,2000,7669,presidential republic,Flawed democracy,South America
243,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,2000,17,presidential republic,Flawed democracy,South America
244,Argentina,Government expenditure per tertiary student constant US,2000,1762,presidential republic,Flawed democracy,South America
245,Argentina,Government expenditure per tertiary student US,2000,1336,presidential republic,Flawed democracy,South America
246,Argentina,Labor force total,2000,16458321,presidential republic,Flawed democracy,South America
247,Argentina,Population growth annual pct,2000,1,presidential republic,Flawed democracy,South America
248,Argentina,Population total,2000,37057452,presidential republic,Flawed democracy,South America
249,Argentina,GDP at market prices current US,2001,269000000000,presidential republic,Flawed democracy,South America
250,Argentina,GDP per capita current US,2001,7170,presidential republic,Flawed democracy,South America
251,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,2001,16,presidential republic,Flawed democracy,South America
252,Argentina,Government expenditure per tertiary student constant US,2001,1546,presidential republic,Flawed democracy,South America
253,Argentina,Government expenditure per tertiary student US,2001,1159,presidential republic,Flawed democracy,South America
254,Argentina,Labor force total,2001,16694632,presidential republic,Flawed democracy,South America
255,Argentina,Population growth annual pct,2001,1,presidential republic,Flawed democracy,South America
256,Argentina,Population total,2001,37471509,presidential republic,Flawed democracy,South America
257,Argentina,GDP at market prices current US,2002,97724004252,presidential republic,Flawed democracy,South America
258,Argentina,GDP per capita current US,2002,2579,presidential republic,Flawed democracy,South America
259,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,2002,13,presidential republic,Flawed democracy,South America
260,Argentina,Government expenditure per tertiary student constant US,2002,1107,presidential republic,Flawed democracy,South America
261,Argentina,Government expenditure per tertiary student US,2002,338,presidential republic,Flawed democracy,South America
262,Argentina,Labor force total,2002,16830826,presidential republic,Flawed democracy,South America
263,Argentina,Population growth annual pct,2002,1,presidential republic,Flawed democracy,South America
264,Argentina,Population total,2002,37889370,presidential republic,Flawed democracy,South America
265,Argentina,GDP at market prices current US,2003,128000000000,presidential republic,Flawed democracy,South America
266,Argentina,GDP per capita current US,2003,3330,presidential republic,Flawed democracy,South America
267,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,2003,10,presidential republic,Flawed democracy,South America
268,Argentina,Government expenditure per tertiary student constant US,2003,946,presidential republic,Flawed democracy,South America
269,Argentina,Government expenditure per tertiary student US,2003,347,presidential republic,Flawed democracy,South America
270,Argentina,Labor force total,2003,17210076,presidential republic,Flawed democracy,South America
271,Argentina,Population growth annual pct,2003,1,presidential republic,Flawed democracy,South America
272,Argentina,Population total,2003,38309379,presidential republic,Flawed democracy,South America
273,Argentina,GDP at market prices current US,2004,165000000000,presidential republic,Flawed democracy,South America
274,Argentina,GDP per capita current US,2004,4251,presidential republic,Flawed democracy,South America
275,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,2004,10,presidential republic,Flawed democracy,South America
276,Argentina,Government expenditure per tertiary student constant US,2004,972,presidential republic,Flawed democracy,South America
277,Argentina,Government expenditure per tertiary student US,2004,466,presidential republic,Flawed democracy,South America
278,Argentina,Labor force total,2004,17597843,presidential republic,Flawed democracy,South America
279,Argentina,Population growth annual pct,2004,1,presidential republic,Flawed democracy,South America
280,Argentina,Population total,2004,38728696,presidential republic,Flawed democracy,South America
281,Argentina,GDP at market prices current US,2005,199000000000,presidential republic,Flawed democracy,South America
282,Argentina,GDP per capita current US,2005,5076,presidential republic,Flawed democracy,South America
283,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,2005,11,presidential republic,Flawed democracy,South America
284,Argentina,Government expenditure per tertiary student constant US,2005,1120,presidential republic,Flawed democracy,South America
285,Argentina,Government expenditure per tertiary student US,2005,598,presidential republic,Flawed democracy,South America
286,Argentina,Labor force total,2005,17751245,presidential republic,Flawed democracy,South America
287,Argentina,Population growth annual pct,2005,1,presidential republic,Flawed democracy,South America
288,Argentina,Population total,2005,39145488,presidential republic,Flawed democracy,South America
289,Argentina,GDP at market prices current US,2006,233000000000,presidential republic,Flawed democracy,South America
290,Argentina,GDP per capita current US,2006,5878,presidential republic,Flawed democracy,South America
291,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,2006,13,presidential republic,Flawed democracy,South America
292,Argentina,Government expenditure per tertiary student constant US,2006,1321,presidential republic,Flawed democracy,South America
293,Argentina,Government expenditure per tertiary student US,2006,774,presidential republic,Flawed democracy,South America
294,Argentina,Labor force total,2006,18064575,presidential republic,Flawed democracy,South America
295,Argentina,Population growth annual pct,2006,1,presidential republic,Flawed democracy,South America
296,Argentina,Population total,2006,39558890,presidential republic,Flawed democracy,South America
297,Argentina,GDP at market prices current US,2007,288000000000,presidential republic,Flawed democracy,South America
298,Argentina,GDP per capita current US,2007,7193,presidential republic,Flawed democracy,South America
299,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,2007,14,presidential republic,Flawed democracy,South America
300,Argentina,Government expenditure per tertiary student constant US,2007,1516,presidential republic,Flawed democracy,South America
301,Argentina,Government expenditure per tertiary student US,2007,1031,presidential republic,Flawed democracy,South America
302,Argentina,Labor force total,2007,18090339,presidential republic,Flawed democracy,South America
303,Argentina,Population growth annual pct,2007,1,presidential republic,Flawed democracy,South America
304,Argentina,Population total,2007,39970224,presidential republic,Flawed democracy,South America
305,Argentina,GDP at market prices current US,2008,362000000000,presidential republic,Flawed democracy,South America
306,Argentina,GDP per capita current US,2008,8953,presidential republic,Flawed democracy,South America
307,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,2008,15,presidential republic,Flawed democracy,South America
308,Argentina,Government expenditure per tertiary student constant US,2008,1671,presidential republic,Flawed democracy,South America
309,Argentina,Government expenditure per tertiary student US,2008,1352,presidential republic,Flawed democracy,South America
310,Argentina,Labor force total,2008,18118659,presidential republic,Flawed democracy,South America
311,Argentina,Population growth annual pct,2008,1,presidential republic,Flawed democracy,South America
312,Argentina,Population total,2008,40382389,presidential republic,Flawed democracy,South America
313,Argentina,GDP at market prices current US,2009,333000000000,presidential republic,Flawed democracy,South America
314,Argentina,GDP per capita current US,2009,8161,presidential republic,Flawed democracy,South America
315,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,2009,17,presidential republic,Flawed democracy,South America
316,Argentina,Government expenditure per tertiary student constant US,2009,1928,presidential republic,Flawed democracy,South America
317,Argentina,Government expenditure per tertiary student US,2009,1454,presidential republic,Flawed democracy,South America
318,Argentina,Labor force total,2009,18474775,presidential republic,Flawed democracy,South America
319,Argentina,Population growth annual pct,2009,1,presidential republic,Flawed democracy,South America
320,Argentina,Population total,2009,40799407,presidential republic,Flawed democracy,South America
321,Argentina,GDP at market prices current US,2010,424000000000,presidential republic,Flawed democracy,South America
322,Argentina,GDP per capita current US,2010,10276,presidential republic,Flawed democracy,South America
323,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,2010,16,presidential republic,Flawed democracy,South America
324,Argentina,Government expenditure per tertiary student constant US,2010,1983,presidential republic,Flawed democracy,South America
325,Argentina,Government expenditure per tertiary student US,2010,1675,presidential republic,Flawed democracy,South America
326,Argentina,Labor force total,2010,18248428,presidential republic,Flawed democracy,South America
327,Argentina,Population growth annual pct,2010,1,presidential republic,Flawed democracy,South America
328,Argentina,Population total,2010,41223889,presidential republic,Flawed democracy,South America
329,Argentina,GDP at market prices current US,2011,530000000000,presidential republic,Flawed democracy,South America
330,Argentina,GDP per capita current US,2011,12726,presidential republic,Flawed democracy,South America
331,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,2011,15,presidential republic,Flawed democracy,South America
332,Argentina,Government expenditure per tertiary student constant US,2011,2157,presidential republic,Flawed democracy,South America
333,Argentina,Government expenditure per tertiary student US,2011,2031,presidential republic,Flawed democracy,South America
334,Argentina,Labor force total,2011,18830109,presidential republic,Flawed democracy,South America
